11X5.5
1372 9810 3420 2.89
2035 12630 3900 3.7
3048 16430 4380 4.8
4024 20380 4920 5.9

KDE-CF215-DP
23 400 1380 0.33
49 760 1920 0.46
93 1220 2480 0.59
159 1770 2880 0.68
247 2380 3380 0.79
362 3110 3840 0.91
475 3950 4260 1.00

KDE-CF215-TP
135 1520 2320 0.55
318 2790 3180 0.75
595 4290 3800 0.89
997 6010 4600 1.08
1769 8120 5320 1.24
2354 10200 5760 1.35
3085 11930 6640 1.55

KDE-CF355-DP
480 4172 1800 2.2
882 6983 2280 3.5
1419 9976 2700 5.0
2119 13240 3120 6.77
2996 16913 3480 8.11
4035 19951 3840 9.44
4906 23125 4140 10.56
